Table 2.4.5. Personal Consumption Expenditures by Type of Product
Table 2.4.5. Personal Consumption Expenditures by Type of Product
"Last Revised on: August 26, 2026 - Next Release Date September 30, 2026"
Line,,2024,2024,2024,2024,2025,2025,2025,2025,2026,2026
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"            Personal consumption expenditures",19443.8,19756.1,20032.8,20351.3,20555.0,20789.9,21111.2,21363.4,21634.9,22100.1
2,Goods,6136.3,6224.4,6291.6,6393.9,6432.3,6471.1,6545.6,6583.1,6679.1,6884.9
3,"    Durable goods",2126.3,2151.9,2183.9,2250.2,2235.8,2265.7,2277.3,2282.8,2322.7,2383.8
4,"        Motor vehicles and parts",712.8,716.6,731.6,770.2,755.9,770.5,760.7,748.3,750.5,768.7
5,"            New motor vehicles (55)",381.2,386.8,393.5,418.1,411.2,418.5,411.2,393.4,381.2,404.2
6,"            Net purchases of used motor vehicles (56)",207.3,204.2,211.3,223.2,214.8,221.0,217.7,222.8,235.0,227.7
7,"            Motor vehicle parts and accessories (58)",124.3,125.6,126.9,128.9,129.9,131.1,131.8,132.1,134.3,136.7
8,"        Furnishings and durable household equipment",479.6,485.0,493.6,501.8,503.1,507.3,508.0,511.0,521.9,533.0
9,"            Furniture and furnishings (parts of 31 and 32)",275.1,278.5,283.8,290.2,292.2,295.0,293.9,294.4,300.9,307.3
10,"            Household appliances (part of 33)",86.8,87.5,88.7,89.2,88.5,89.3,89.9,90.9,92.5,94.7
11,"            Glassware, tableware, and household utensils (34)",57.8,58.5,59.5,60.5,61.1,61.5,62.3,62.9,63.9,65.3
12,"            Tools and equipment for house and garden (35)",60.0,60.4,61.6,61.9,61.4,61.4,61.9,62.7,64.6,65.7
13,"        Recreational goods and vehicles",647.8,660.4,666.5,680.3,681.7,689.9,703.6,715.3,735.1,761.6
14,"            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",392.0,401.2,404.6,413.1,416.5,424.3,432.7,437.0,453.0,467.8
15,"            Sporting equipment, supplies, guns, and ammunition (part of 80)",120.0,120.7,122.3,124.2,124.4,125.0,128.1,130.2,134.2,138.2
16,"            Sports and recreational vehicles (79)",96.9,98.8,99.8,102.2,99.6,98.6,100.8,104.6,103.4,109.8
17,"            Recreational books (part of 90)",30.2,31.0,31.1,32.0,32.4,32.9,32.9,34.1,35.0,36.1
18,"            Musical instruments (part of 80)",8.6,8.6,8.8,8.9,8.8,9.0,9.1,9.3,9.5,9.7
19,"        Other durable goods",286.2,289.8,292.3,298.0,295.1,298.1,305.0,308.3,315.1,320.5
20,"            Jewelry and watches (part of 119)",102.9,103.7,105.4,106.3,103.3,104.0,108.3,108.4,111.4,112.9
21,"            Therapeutic appliances and equipment (42)",93.9,94.9,95.6,98.1,97.9,98.8,99.9,101.2,103.0,104.6
22,"            Educational books (96)",8.4,8.6,8.4,8.7,8.9,8.9,8.6,9.3,9.4,9.6
23,"            Luggage and similar personal items (part of 119)",46.6,47.7,48.1,49.7,49.6,50.4,51.7,52.8,53.7,54.9
24,"            Telephone and related communication equipment",34.5,34.9,34.8,35.2,35.5,35.9,36.4,36.6,37.6,38.4
25,"    Nondurable goods",4010.0,4072.5,4107.6,4143.7,4196.5,4205.4,4268.3,4300.3,4356.4,4501.1
26,"        Food and beverages purchased for off-premises consumption",1457.0,1472.0,1486.2,1503.0,1517.8,1521.8,1538.0,1542.0,1549.7,1567.3
27,"            Food and nonalcoholic beverages purchased for off-premises consumption (4)",1231.2,1243.2,1255.7,1270.2,1285.0,1288.0,1301.8,1305.7,1311.0,1325.3
28,"            Alcoholic beverages purchased for off-premises consumption (5)",225.0,228.1,229.8,232.0,231.9,233.0,235.4,235.4,237.9,241.1
29,"            Food produced and consumed on farms (6)",0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9
30,"        Clothing and footwear",518.9,528.9,532.2,540.8,547.3,556.0,568.1,575.7,585.0,597.8
31,"            Garments",401.1,410.2,412.5,419.8,426.0,432.2,442.1,448.5,455.0,465.7
32,"                Women's and girls' clothing (10)",234.5,240.5,241.8,246.2,250.0,253.2,258.6,261.9,265.7,271.5
33,"                Men's and boys' clothing (11)",141.2,143.7,144.6,146.9,149.2,151.7,155.6,158.2,160.4,164.7
34,"                Children's and infants' clothing (12)",25.5,25.9,26.2,26.7,26.8,27.3,27.9,28.3,28.9,29.5
35,"            Other clothing materials and footwear (13 and 17)",117.7,118.8,119.7,121.1,121.4,123.7,126.0,127.2,130.0,132.1
36,"        Gasoline and other energy goods",444.0,454.5,436.4,427.2,438.7,411.0,414.4,425.3,447.4,529.0
37,"            Motor vehicle fuels, lubricants, and fluids (59)",417.7,428.2,410.0,401.2,408.7,383.0,385.2,395.4,415.5,497.3
38,"            Fuel oil and other fuels (29)",26.3,26.3,26.4,26.0,30.0,28.0,29.2,29.8,31.8,31.7
39,"        Other nondurable goods",1590.1,1617.1,1652.7,1672.6,1692.7,1716.6,1747.8,1757.4,1774.3,1807.0
40,"            Pharmaceutical and other medical products (40 and 41)",652.0,668.0,693.2,697.5,709.2,722.5,742.3,743.4,739.0,748.8
41,"            Recreational items (parts of 80, 92, and 93)",307.1,310.8,315.1,321.8,327.0,332.6,337.5,341.7,351.6,360.9
42,"            Household supplies (parts of 32 and 36)",187.6,189.7,192.2,195.0,196.7,197.9,199.9,201.2,204.0,207.6
43,"            Personal care products (part of 118)",199.1,201.7,204.8,208.1,209.6,212.2,215.6,217.0,220.3,225.1
44,"            Tobacco (127)",116.7,115.5,114.4,114.3,113.1,111.9,110.7,110.6,112.6,113.6
45,"            Magazines, newspapers, and stationery (part of 90)",115.3,118.0,119.9,122.6,123.7,125.9,128.4,130.1,133.7,137.8
46,"            Net expenditures abroad by U.S. residents (131)",12.4,13.4,13.0,13.5,13.4,13.6,13.4,13.3,13.2,13.3
47,Services,13307.5,13531.7,13741.3,13957.4,14122.7,14318.8,14565.5,14780.2,14955.9,15215.2
48,"    Household consumption expenditures (for services)",12724.6,12920.4,13109.0,13331.4,13510.3,13721.3,13958.4,14164.4,14310.4,14568.6
49,"        Housing and utilities",3521.0,3585.5,3630.2,3677.9,3742.1,3785.6,3817.9,3859.3,3901.6,3951.7
50,"            Housing",3076.1,3125.3,3171.8,3214.7,3254.0,3295.3,3332.9,3361.7,3395.0,3440.6
51,"                Rental of tenant-occupied nonfarm housing (20)",723.1,735.2,746.8,756.3,765.6,774.0,781.2,786.3,792.6,801.9
52,"                Imputed rental of owner-occupied nonfarm housing (21)",2321.3,2357.9,2392.3,2425.3,2454.9,2487.5,2517.6,2541.1,2568.0,2603.9
53,"                Rental value of farm dwellings (22)",28.4,29.0,29.4,29.8,30.2,30.5,30.7,30.8,31.0,31.2
54,"                Group housing (23)",3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.5,3.5
55,"            Household utilities",444.9,460.2,458.4,463.2,488.2,490.3,485.0,497.6,506.6,511.0
56,"                Water supply and sanitation (25)",136.4,138.1,140.7,143.3,145.0,146.6,147.7,148.0,151.3,153.7
57,"                Electricity and gas",308.5,322.1,317.7,319.9,343.1,343.7,337.2,349.7,355.3,357.4
58,"                    Electricity (27)",245.8,259.6,251.7,256.7,268.5,265.3,262.7,273.5,273.6,274.6
59,"                    Natural gas (28)",62.7,62.5,66.0,63.2,74.6,78.4,74.5,76.1,81.8,82.7
60,"        Health care",3234.3,3275.2,3346.8,3403.7,3448.3,3514.6,3594.9,3648.5,3682.2,3768.6
61,"            Outpatient services",1519.8,1555.0,1594.5,1621.4,1631.6,1665.9,1706.1,1725.9,1746.3,1778.3
62,"                Physician services (44)",765.9,785.4,805.7,816.1,819.5,829.2,845.7,852.5,855.5,872.8
63,"                Dental services (45)",182.1,185.1,187.5,188.2,190.4,196.9,201.7,204.0,210.2,215.0
64,"                Paramedical services (46)",571.8,584.5,601.3,617.1,621.7,639.9,658.6,669.3,680.6,690.5
65,"            Hospital and nursing home services",1714.6,1720.2,1752.3,1782.2,1816.7,1848.7,1888.8,1922.6,1935.8,1990.2
66,"                Hospitals (51)",1471.2,1474.5,1502.2,1526.6,1555.4,1581.4,1616.3,1647.6,1656.5,1704.8
67,"                Nursing homes (52)",243.4,245.7,250.2,255.7,261.3,267.3,272.5,275.0,279.3,285.4
68,"        Transportation services",635.2,666.0,662.3,678.6,683.5,697.0,710.6,723.6,738.1,760.0
69,"            Motor vehicle services",356.5,372.1,368.1,377.5,381.8,393.1,398.8,407.0,404.7,409.7
70,"                Motor vehicle maintenance and repair (60)",246.4,261.8,257.0,264.7,267.1,274.3,279.4,286.1,279.7,284.4
71,"                Other motor vehicle services (61)",110.1,110.3,111.1,112.9,114.7,118.8,119.4,121.0,124.9,125.3
72,"            Public transportation",278.6,293.8,294.3,301.0,301.7,303.9,311.8,316.6,333.4,350.3
73,"                Ground transportation (63)",90.5,97.8,97.0,98.5,100.0,105.0,108.3,109.2,111.0,113.5
74,"                Air transportation (64)",181.8,189.2,190.1,195.4,194.3,191.6,196.2,199.9,214.9,229.1
75,"                Water transportation (65)",6.3,6.8,7.1,7.1,7.4,7.3,7.3,7.5,7.6,7.7
